Study,Time,Conc,SD,Unit,Matrix,Species,Route,Repeat,Dose,Chemical,Interval
1,0.5,7.862892859,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,0.75,6.442914679,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,1,5.32137597,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,1.5,4.28668694,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,2,3.621576649,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,3,2.58441938,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,4,2.532273229,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,6,1.914391399,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,8,1.291150222,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,12,0.812028091,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,15,0.534843598,NA,ug/mL,P,Swine,IV,1,10,OTC,24
1,24,0.227098073,NA,ug/mL,P,Swine,IV,1,10,OTC,24
2,334,1.68,0.468,ug/mL,K,Swine,PO,14,22.05,OTC,24
2,348,0.538,0.21,ug/mL,K,Swine,PO,14,22.05,OTC,24
2,372,0.34,0.104,ug/mL,K,Swine,PO,14,22.05,OTC,24
2,396,0.162,0.019,ug/mL,K,Swine,PO,14,22.05,OTC,24
2,444,0.174,0.027,ug/mL,K,Swine,PO,14,22.05,OTC,24
2,492,0.126,0.026,ug/mL,K,Swine,PO,14,22.05,OTC,24
2,334,0.379,0.084,ug/mL,L,Swine,PO,14,22.05,OTC,24
2,348,0.144,0.033,ug/mL,L,Swine,PO,14,22.05,OTC,24
2,334,0.299,0.083,ug/mL,M,Swine,PO,14,22.05,OTC,24
2,334,0.016,0.031,ug/mL,F,Swine,PO,14,22.05,OTC,24
3,0.25,8.21,NA,ug/mL,P,Swine,IV,1,11,OTC,24
3,1,8.93,NA,ug/mL,P,Swine,IV,1,11,OTC,24
3,2,9.51,NA,ug/mL,P,Swine,IV,1,11,OTC,24
3,4,6.21,NA,ug/mL,P,Swine,IV,1,11,OTC,24
3,8,3.72,NA,ug/mL,P,Swine,IV,1,11,OTC,24
